"서울특별시",성동구,성수1가1동,1,75,3576,-,-,-,-,-,-,1,75,3576
"서울특별시",성동구,성수1가2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성동구,성수2가1동,1,50,2861,1,50,2861,-,-,-,-,-,-
"서울특별시",성동구,성수2가3동,1,152,7596,-,-,-,-,-,-,1,152,7596
"서울특별시",성동구,송정동,1,138,5554,-,-,-,-,-,-,1,138,5554
"서울특별시",성동구,용답동,1,172,9436,-,-,-,1,172,9436,-,-,-
"서울특별시",성동구,왕십리도선동,1,137,5862,-,-,-,-,-,-,1,137,5862
"서울특별시",성동구,금호2.3가동,2,219,5522,1,107,1156,-,-,-,1,112,4366
"서울특별시",성동구,옥수동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",광진구,소계,14,712,103038,7,141,30639,6,526,70297,1,45,2102
"서울특별시",광진구,화양동,2,104,23497,1,29,12216,1,75,11281,-,-,-
"서울특별시",광진구,군자동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",광진구,중곡1동,3,165,19026,2,30,4342,1,135,14684,-,-,-
"서울특별시",광진구,중곡2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",광진구,중곡3동,1,45,2102,-,-,-,-,-,-,1,45,2102
"서울특별시",광진구,중곡4동,1,21,1204,1,21,1204,-,-,-,-,-,-
"서울특별시",광진구,능동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",광진구,구의1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",광진구,구의2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",광진구,구의3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",광진구,광장동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",광진구,자양1동,1,135,16400,-,-,-,1,135,16400,-,-,-
"서울특별시",광진구,자양2동,1,7,4716,1,7,4716,-,-,-,-,-,-
"서울특별시",광진구,자양3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",광진구,자양4동,5,235,36093,2,54,8161,3,181,27932,-,-,-
"서울특별시",동대문,소계,20,2937,186116,8,990,29265,12,1947,156851,-,-,-
"서울특별시",동대문,회기동,1,64,2767,-,-,-,1,64,2767,-,-,-
"서울특별시",동대문,휘경1동,1,78,2178,1,78,2178,-,-,-,-,-,-
"서울특별시",동대문,휘경2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동대문,청량리동,1,64,1466,-,-,-,1,64,1466,-,-,-
"서울특별시",동대문,용신동,2,128,3556,1,11,1250,1,117,2306,-,-,-
"서울특별시",동대문,제기동,8,2205,158469,2,754,17354,6,1451,141115,-,-,-
"서울특별시",동대문,전농1동,1,77,4244,1,77,4244,-,-,-,-,-,-
"서울특별시",동대문,전농2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동대문,답십리2동,2,137,4585,-,-,-,2,137,4585,-,-,-
"서울특별시",동대문,장안1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동대문,장안2동,1,15,809,1,15,809,-,-,-,-,-,-
"서울특별시",동대문,이문1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동대문,이문2동,1,23,1774,1,23,1774,-,-,-,-,-,-
"서울특별시",동대문,답십리1동,2,146,6268,1,32,1656,1,114,4612,-,-,-
"서울특별시",중랑구,소계,13,1207,60454,6,475,24633,6,645,30858,1,87,4963
"서울특별시",중랑구,면목2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중랑구,면목4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중랑구,면목5동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중랑구,면목7동,2,114,8242,1,22,3977,1,92,4265,-,-,-
"서울특별시",중랑구,상봉1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중랑구,상봉2동,2,194,7953,1,69,2754,1,125,5199,-,-,-
"서울특별시",중랑구,중화1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중랑구,중화2동,1,43,3286,1,43,3286,-,-,-,-,-,-
"서울특별시",중랑구,묵1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중랑구,묵2동,1,56,1952,-,-,-,1,56,1952,-,-,-
"서울특별시",중랑구,망우3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중랑구,신내1동,1,72,4137,1,72,4137,-,-,-,-,-,-
"서울특별시",중랑구,신내2동,1,255,8891,1,255,8891,-,-,-,-,-,-
"서울특별시",중랑구,면목본동,3,224,11750,1,14,1588,1,123,5199,1,87,4963
"서울특별시",중랑구,면목3.8동,1,126,5807,-,-,-,1,126,5807,-,-,-
"서울특별시",중랑구,망우본동,1,123,8436,-,-,-,1,123,8436,-,-,-
"서울특별시",성북구,소계,14,1307,87798,1,12,1992,6,510,37743,7,785,48063
"서울특별시",성북구,돈암1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성북구,돈암2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성북구,안암동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성북구,보문동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성북구,정능1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성북구,정능2동,1,54,2049,-,-,-,1,54,2049,-,-,-
"서울특별시",성북구,정능3동,2,178,13686,-,-,-,1,114,9954,1,64,3732
"서울특별시",성북구,정능4동,1,75,4952,-,-,-,-,-,-,1,75,4952
"서울특별시",성북구,길음1동,1,88,6340,-,-,-,1,88,6340,-,-,-
"서울특별시",성북구,길음2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성북구,월곡1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성북구,월곡2동,1,168,10408,-,-,-,-,-,-,1,168,10408
"서울특별시",성북구,장위1동,1,66,2615,-,-,-,-,-,-,1,66,2615
"서울특별시",성북구,장위2동,1,64,3597,-,-,-,1,64,3597,-,-,-
"서울특별시",성북구,장위3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성북구,성북동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성북구,삼선동,2,204,14799,-,-,-,1,110,8653,1,94,6146
"서울특별시",성북구,동선동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",성북구,종암동,1,157,9667,-,-,-,-,-,-,1,157,9667
"서울특별시",성북구,석관동,3,253,19685,1,12,1992,1,80,7150,1,161,10543
"서울특별시",강북구,소계,16,861,50599,8,248,18262,4,357,22166,4,256,10171
"서울특별시",강북구,번1동,1,29,1959,1,29,1959,-,-,-,-,-,-
"서울특별시",강북구,번2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강북구,번3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강북구,수유1동,4,315,17757,2,121,7239,2,194,10518,-,-,-
"서울특별시",강북구,수유2동,2,92,3756,1,10,1061,-,-,-,1,82,2695
"서울특별시",강북구,수유3동,3,147,9705,1,22,2513,1,75,4620,1,50,2572
"서울특별시",강북구,삼양동,2,74,4902,1,27,2721,-,-,-,1,47,2181
"서울특별시",강북구,미아동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강북구,송중동,1,77,2723,-,-,-,-,-,-,1,77,2723
"서울특별시",강북구,송천동,1,34,2748,1,34,2748,-,-,-,-,-,-
"서울특별시",강북구,삼각산동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강북구,우이동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강북구,인수동,2,93,7049,1,5,21,1,88,7028,-,-,-
"서울특별시",도봉구,소계,11,1113,52933,-,-,-,6,551,25209,5,562,27724
"서울특별시",도봉구,쌍문1동,1,63,2994,-,-,-,1,63,2994,-,-,-
"서울특별시",도봉구,쌍문2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",도봉구,쌍문3동,2,215,10252,-,-,-,1,103,4886,1,112,5366
"서울특별시",도봉구,쌍문4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",도봉구,방학1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",도봉구,방학2동,1,93,3722,-,-,-,1,93,3722,-,-,-
"서울특별시",도봉구,방학3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",도봉구,창1동,1,117,3666,-,-,-,-,-,-,1,117,3666
"서울특별시",도봉구,창2동,1,83,3021,-,-,-,1,83,3021,-,-,-
"서울특별시",도봉구,창3동,1,61,1812,-,-,-,1,61,1812,-,-,-
"서울특별시",도봉구,창4동,1,71,4484,-,-,-,-,-,-,1,71,4484
"서울특별시",도봉구,창5동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",도봉구,도봉1동,2,358,20565,-,-,-,1,148,8774,1,210,11791
"서울특별시",도봉구,도봉2동,1,52,2417,-,-,-,-,-,-,1,52,2417
"서울특별시",노원구,소계,8,677,51755,-,-,-,2,189,29032,6,488,22723
"서울특별시",노원구,월계1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,월계2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,월계3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,공릉2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,하계1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,하계2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,중계본동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,중계1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,중계4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,상계1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,상계2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,상계5동,2,226,25662,-,-,-,1,73,17861,1,153,7801
"서울특별시",노원구,상계8동,1,40,4422,-,-,-,-,-,-,1,40,4422
"서울특별시",노원구,상계9동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,상계10동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,상계3.4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",노원구,상계6.7동,1,46,2500,-,-,-,-,-,-,1,46,2500
"서울특별시",노원구,중계2.3동,3,249,8000,-,-,-,-,-,-,3,249,8000
"서울특별시",노원구,공릉1동,1,116,11171,-,-,-,1,116,11171,-,-,-
"서울특별시",은평구,소계,13,812,49524,7,258,12330,3,208,9098,3,346,28096
"서울특별시",은평구,녹번동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",은평구,불광1동,1,69,9102,-,-,-,-,-,-,1,69,9102
"서울특별시",은평구,갈현1동,1,190,16394,-,-,-,-,-,-,1,190,16394
"서울특별시",은평구,갈현2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",은평구,구산동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",은평구,대조동,2,148,6462,1,52,1336,1,96,5126,-,-,-
"서울특별시",은평구,응암1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",은평구,응암2동,2,38,3960,1,-,1688,1,38,2272,-,-,-
"서울특별시",은평구,신사1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",은평구,신사2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",은평구,증산동,1,52,2171,1,52,2171,-,-,-,-,-,-
"서울특별시",은평구,수색동,1,-,1074,1,-,1074,-,-,-,-,-,-
"서울특별시",은평구,진관동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",은평구,불광2동,1,87,1594,1,87,1594,-,-,-,-,-,-
"서울특별시",은평구,응암3동,4,228,8767,2,67,4467,1,74,1700,1,87,2600
"서울특별시",은평구,역촌동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서대문구,소계,14,859,64201,6,316,25128,2,134,9795,6,409,29278
"서울특별시",서대문구,천연동,1,71,2485,-,-,-,1,71,2485,-,-,-
"서울특별시",서대문구,홍제1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서대문구,홍제3동,2,171,6795,1,105,4321,-,-,-,1,66,2474
"서울특별시",서대문구,홍제2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서대문구,홍은1동,2,124,13916,1,61,6606,1,63,7310,-,-,-
"서울특별시",서대문구,홍은2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서대문구,남가좌1동,1,30,1361,1,30,1361,-,-,-,-,-,-
"서울특별시",서대문구,남가좌2동,2,86,9121,2,86,9121,-,-,-,-,-,-
"서울특별시",서대문구,북가좌1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서대문구,북가좌2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서대문구,충현동,1,34,1739,-,-,-,-,-,-,1,34,1739
"서울특별시",서대문구,북아현동,1,66,9175,-,-,-,-,-,-,1,66,9175
"서울특별시",서대문구,신촌동,3,243,15890,-,-,-,-,-,-,3,243,15890
"서울특별시",서대문구,연희동,1,34,3719,1,34,3719,-,-,-,-,-,-
"서울특별시",마포구,소계,17,1514,89548,8,372,23002,3,280,8878,6,862,57668
"서울특별시",마포구,용강동,1,108,14283,-,-,-,-,-,-,1,108,14283
"서울특별시",마포구,대흥동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",마포구,염리동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",마포구,신수동,1,-,907,1,-,907,-,-,-,-,-,-
"서울특별시",마포구,서교동,4,450,18991,2,90,5772,-,-,-,2,360,13219
"서울특별시",마포구,합정동,1,8,1109,1,8,1109,-,-,-,-,-,-
"서울특별시",마포구,망원1동,1,50,1604,-,-,-,1,50,1604,-,-,-
"서울특별시",마포구,망원2동,2,159,5901,-,-,-,1,82,2868,1,77,3033
"서울특별시",마포구,연남동,1,24,438,1,24,438,-,-,-,-,-,-
"서울특별시",마포구,성산1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",마포구,성산2동,1,146,12337,1,146,12337,-,-,-,-,-,-
"서울특별시",마포구,상암동,1,175,11411,-,-,-,-,-,-,1,175,11411
"서울특별시",마포구,도화동,1,142,15722,-,-,-,-,-,-,1,142,15722
"서울특별시",마포구,서강동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",마포구,공덕동,2,104,2439,2,104,2439,-,-,-,-,-,-
"서울특별시",마포구,아현동,1,148,4406,-,-,-,1,148,4406,-,-,-
"서울특별시",양천구,소계,13,931,38342,3,36,5972,6,518,19224,4,377,13146
"서울특별시",양천구,목1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",양천구,목2동,1,94,1350,-,-,-,1,94,1350,-,-,-
"서울특별시",양천구,목3동,1,105,5106,-,-,-,1,105,5106,-,-,-
"서울특별시",양천구,목4동,1,82,2084,-,-,-,1,82,2084,-,-,-
"서울특별시",양천구,신월1동,2,158,6113,-,-,-,1,110,4371,1,48,1742
"서울특별시",양천구,신월2동,1,64,1906,-,-,-,1,64,1906,-,-,-
"서울특별시",양천구,신월3동,1,156,2059,-,-,-,-,-,-,1,156,2059
"서울특별시",양천구,신월4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",양천구,신월5동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",양천구,신월6동,1,6,2385,1,6,2385,-,-,-,-,-,-
"서울특별시",양천구,신월7동,1,15,2247,1,15,2247,-,-,-,-,-,-
"서울특별시",양천구,신정1동,1,15,1340,1,15,1340,-,-,-,-,-,-
"서울특별시",양천구,신정2동,2,126,7203,-,-,-,1,63,4407,1,63,2796
"서울특별시",양천구,신정3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",양천구,신정6동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",양천구,신정7동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",양천구,목5동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",양천구,신정4동,1,110,6549,-,-,-,-,-,-,1,110,6549
"서울특별시",강서구,소계,10,670,108007,4,60,11222,6,610,96785,-,-,-
"서울특별시",강서구,염창동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강서구,등촌1동,1,10,2325,1,10,2325,-,-,-,-,-,-
"서울특별시",강서구,등촌2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강서구,등촌3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강서구,화곡본동,1,52,5957,-,-,-,1,52,5957,-,-,-
"서울특별시",강서구,화곡2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강서구,화곡3동,1,30,2739,1,30,2739,-,-,-,-,-,-
"서울특별시",강서구,화곡4동,2,180,24152,1,16,2314,1,164,21838,-,-,-
"서울특별시",강서구,화곡6동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강서구,화곡8동,1,139,26139,-,-,-,1,139,26139,-,-,-
"서울특별시",강서구,가양1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강서구,가양2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강서구,가양3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강서구,발산1동,1,77,26452,-,-,-,1,77,26452,-,-,-
"서울특별시",강서구,공항동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강서구,방화1동,1,123,6963,-,-,-,1,123,6963,-,-,-
"서울특별시",강서구,방화2동,1,4,3844,1,4,3844,-,-,-,-,-,-
"서울특별시",강서구,방화3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강서구,화곡1동,1,55,9436,-,-,-,1,55,9436,-,-,-
"서울특별시",강서구,우장산동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",구로구,소계,9,741,36337,5,322,20502,3,357,12973,1,62,2862
"서울특별시",구로구,신도림동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",구로구,구로1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",구로구,구로3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",구로구,구로4동,2,376,13095,1,169,4313,1,207,8782,-,-,-
"서울특별시",구로구,구로5동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",구로구,고척1동,2,85,11390,1,23,8528,-,-,-,1,62,2862
"서울특별시",구로구,고척2동,2,184,4466,1,99,2571,1,85,1895,-,-,-
"서울특별시",구로구,개봉2동,1,21,1360,1,21,1360,-,-,-,-,-,-
"서울특별시",구로구,개봉3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",구로구,오류1동,1,10,3730,1,10,3730,-,-,-,-,-,-
"서울특별시",구로구,수궁동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",구로구,가리봉동,1,65,2296,-,-,-,1,65,2296,-,-,-
"서울특별시",구로구,구로2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",구로구,개봉1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",구로구,오류2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",구로구,항동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",금천구,소계,8,1090,87005,1,50,2228,3,384,25579,4,656,59198
"서울특별시",금천구,가산동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",금천구,독산1동,1,160,18600,-,-,-,-,-,-,1,160,18600
"서울특별시",금천구,독산2동,1,140,6814,-,-,-,-,-,-,1,140,6814
"서울특별시",금천구,독산3동,1,115,13079,-,-,-,1,115,13079,-,-,-
"서울특별시",금천구,독산4동,1,159,18021,-,-,-,-,-,-,1,159,18021
"서울특별시",금천구,시흥1동,3,457,28289,1,50,2228,1,210,10298,1,197,15763
"서울특별시",금천구,시흥2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",금천구,시흥3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",금천구,시흥4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",금천구,시흥5동,1,59,2202,-,-,-,1,59,2202,-,-,-
"서울특별시",영등포구,소계,22,3134,140915,9,1879,65140,1,91,2096,12,1164,73679
"서울특별시",영등포구,여의동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",영등포구,당산1동,2,1513,70592,1,1365,50792,-,-,-,1,148,19800
"서울특별시",영등포구,당산2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",영등포구,양평1동,1,-,-,1,-,-,-,-,-,-,-,-
"서울특별시",영등포구,양평2동,1,42,261,-,-,-,-,-,-,1,42,261
"서울특별시",영등포구,신길1동,1,110,1574,1,110,1574,-,-,-,-,-,-
"서울특별시",영등포구,신길3동,1,8,990,1,8,990,-,-,-,-,-,-
"서울특별시",영등포구,신길4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",영등포구,신길5동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",영등포구,신길6동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",영등포구,신길7동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",영등포구,대림1동,1,94,2834,-,-,-,-,-,-,1,94,2834
"서울특별시",영등포구,대림2동,2,130,4615,-,-,-,1,91,2096,1,39,2519
"서울특별시",영등포구,대림3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",영등포구,영등포본동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",영등포구,영등포동,11,1031,56971,3,190,8706,-,-,-,8,841,48265
"서울특별시",영등포구,도림동,1,2,1614,1,2,1614,-,-,-,-,-,-
"서울특별시",영등포구,문래동,1,204,1464,1,204,1464,-,-,-,-,-,-
"서울특별시",동작구,소계,9,555,52250,3,76,8481,5,398,39541,1,81,4228
"서울특별시",동작구,노량진2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동작구,상도1동,2,87,10093,1,18,2323,1,69,7770,-,-,-
"서울특별시",동작구,상도2동,-,-,-,-,-,-,-,-,-,-,-,-
